country;country_code;continent;population;indicator;weekly_count;year_week;rate_14_day;cumulative_count;source;note
Germany;DEU;Europe;83237124;deaths;0;2020-01;NA;0;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;NA;2020-02;NA;NA;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;NA;2020-03;NA;NA;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;0;2020-04;NA;0;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;0;2020-05;0;0;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;0;2020-06;0;0;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;0;2020-07;0;0;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1;2020-08;0.012013870157263002;1;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;0;2020-09;0.012013870157263002;1;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;12;2020-10;0.14416644188715602;13;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;84;2020-11;1.1533315350972482;97;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;479;2020-12;6.76380889853907;576;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1459;2020-13;23.282880364775696;2035;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;2273;2020-14;44.83576342690552;4308;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1877;2020-15;49.85756115264146;6185;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1227;2020-16;37.291052968144356;7412;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;727;2020-17;23.475102287291907;8139;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;388;2020-18;13.395465225348246;8527;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;258;2020-19;7.760960121591899;8785;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;165;2020-20;5.08186707652225;8950;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;111;2020-21;3.3158281634045887;9061;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;65;2020-22;2.1144411476782885;9126;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;44;2020-23;1.3095118471416671;9170;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;34;2020-24;0.9370818722665142;9204;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;41;2020-25;0.9010402617947252;9245;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;21;2020-26;0.7448599497503061;9266;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;26;2020-27;0.5646518973913611;9292;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;25;2020-28;0.6127073780204131;9317;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;31;2020-29;0.6727767288067281;9348;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;33;2020-30;0.7688876900648322;9381;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;37;2020-31;0.8409709110084101;9418;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;34;2020-32;0.8529847811656731;9452;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;31;2020-33;0.7809015602220951;9483;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;31;2020-34;0.7448599497503061;9514;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;18;2020-35;0.588679637705887;9532;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;35;2020-36;0.6367351183349391;9567;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;68;2020-37;1.2374286261980891;9635;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;82;2020-38;1.8020805235894504;9717;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;110;2020-39;2.3066630701944963;9827;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;121;2020-40;2.7752040063277534;9948;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;247;2020-41;4.421104217872784;10195;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;465;2020-42;8.553875551971258;10660;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1015;2020-43;17.780527832749243;11675;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1621;2020-44;31.668561734545275;13296;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;1910;2020-45;42.42097552529566;15206;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;2536;2020-46;53.413666719191305;17742;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;3228;2020-47;69.24794758646394;20970;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;3603;2020-48;82.06674704426356;24573;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;4480;2020-49;97.10811248115685;29053;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;5763;2020-50;123.05807202084493;34816;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;6460;2020-51;146.84553493222566;41276;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;5728;2020-52;146.42504947672145;47004;TESSy COVID-19;
Germany;DEU;Europe;83237124;deaths;5746;2020-53;137.84714618443567;52750;TESSy COVID-19;