Date Groupe_d'âge Fatale Fatale_total
2020-W11 00-04 0 0
2020-W11 0 9 9
2020-W11 05-14 0 0
2020-W11 15-34 0 0
2020-W11 35-59 1 1
2020-W11 60-79 5 5
2020-W11 80 3 3
2020-W12 00-04 0 0
2020-W12 0 48 57
2020-W12 05-14 0 0
2020-W12 15-34 0 0
2020-W12 35-59 0 1
2020-W12 60-79 7 12
2020-W12 80 41 44
2020-W13 00-04 0 0
2020-W13 0 334 391
2020-W13 05-14 0 0
2020-W13 15-34 1 1
2020-W13 35-59 19 20
2020-W13 60-79 106 118
2020-W13 80 208 252
2020-W14 00-04 0 0
2020-W14 0 935 1326
2020-W14 05-14 0 0
2020-W14 15-34 1 2
2020-W14 35-59 42 62
2020-W14 60-79 319 437
2020-W14 80 573 825
2020-W15 00-04 1 1
2020-W15 0 1335 2661
2020-W15 05-14 0 0
2020-W15 15-34 1 3
2020-W15 35-59 63 125
2020-W15 60-79 430 867
2020-W15 80 840 1665
2020-W16 00-04 0 1
2020-W16 0 1607 4268
2020-W16 05-14 0 0
2020-W16 15-34 2 5
2020-W16 35-59 60 185
2020-W16 60-79 507 1374
2020-W16 80 1038 2703
2020-W17 00-04 0 1
2020-W17 0 1360 5628
2020-W17 05-14 0 0
2020-W17 15-34 2 7
2020-W17 35-59 42 227
2020-W17 60-79 432 1806
2020-W17 80 884 3587
2020-W18 00-04 0 1
2020-W18 0 994 6622
2020-W18 05-14 0 0
2020-W18 15-34 4 11
2020-W18 35-59 53 280
2020-W18 60-79 286 2092
2020-W18 80 651 4238
2020-W19 00-04 0 1
2020-W19 0 726 7348
2020-W19 05-14 0 0
2020-W19 15-34 3 14
2020-W19 35-59 29 309
2020-W19 60-79 227 2319
2020-W19 80 467 4705
2020-W20 00-04 0 1
2020-W20 0 499 7847
2020-W20 05-14 0 0
2020-W20 15-34 1 15
2020-W20 35-59 23 332
2020-W20 60-79 168 2487
2020-W20 80 307 5012
2020-W21 00-04 0 1
2020-W21 0 329 8176
2020-W21 05-14 0 0
2020-W21 15-34 0 15
2020-W21 35-59 19 351
2020-W21 60-79 110 2597
2020-W21 80 200 5212
2020-W22 00-04 0 1
2020-W22 0 257 8433
2020-W22 05-14 0 0
2020-W22 15-34 1 16
2020-W22 35-59 14 365
2020-W22 60-79 88 2685
2020-W22 80 154 5366
2020-W23 00-04 0 1
2020-W23 0 171 8604
2020-W23 05-14 0 0
2020-W23 15-34 0 16
2020-W23 35-59 10 375
2020-W23 60-79 57 2742
2020-W23 80 104 5470
2020-W24 00-04 0 1
2020-W24 0 113 8717
2020-W24 05-14 0 0
2020-W24 15-34 1 17
2020-W24 35-59 11 386
2020-W24 60-79 45 2787
2020-W24 80 56 5526
2020-W25 00-04 0 1
2020-W25 0 98 8815
2020-W25 05-14 0 0
2020-W25 15-34 0 17
2020-W25 35-59 5 391
2020-W25 60-79 35 2822
2020-W25 80 58 5584
2020-W26 00-04 0 1
2020-W26 0 75 8890
2020-W26 05-14 0 0
2020-W26 15-34 0 17
2020-W26 35-59 9 400
2020-W26 60-79 23 2845
2020-W26 80 43 5627
2020-W27 00-04 0 1
2020-W27 0 54 8944
2020-W27 05-14 0 0
2020-W27 15-34 0 17
2020-W27 35-59 4 404
2020-W27 60-79 21 2866
2020-W27 80 29 5656
2020-W28 00-04 0 1
2020-W28 0 51 8995
2020-W28 05-14 0 0
2020-W28 15-34 0 17
2020-W28 35-59 5 409
2020-W28 60-79 25 2891
2020-W28 80 21 5677
2020-W29 00-04 0 1
2020-W29 0 24 9019
2020-W29 05-14 0 0
2020-W29 15-34 0 17
2020-W29 35-59 0 409
2020-W29 60-79 11 2902
2020-W29 80 13 5690
2020-W30 00-04 0 1
2020-W30 0 35 9054
2020-W30 05-14 0 0
2020-W30 15-34 0 17
2020-W30 35-59 7 416
2020-W30 60-79 7 2909
2020-W30 80 21 5711
2020-W31 00-04 0 1
2020-W31 0 23 9077
2020-W31 05-14 0 0
2020-W31 15-34 0 17
2020-W31 35-59 1 417
2020-W31 60-79 9 2918
2020-W31 80 13 5724
2020-W32 00-04 0 1
2020-W32 0 46 9123
2020-W32 05-14 0 0
2020-W32 15-34 1 18
2020-W32 35-59 1 418
2020-W32 60-79 14 2932
2020-W32 80 30 5754
2020-W33 00-04 0 1
2020-W33 0 33 9156
2020-W33 05-14 0 0
2020-W33 15-34 0 18
2020-W33 35-59 2 420
2020-W33 60-79 11 2943
2020-W33 80 20 5774
2020-W34 00-04 0 1
2020-W34 0 38 9194
2020-W34 05-14 0 0
2020-W34 15-34 0 18
2020-W34 35-59 4 424
2020-W34 60-79 7 2950
2020-W34 80 27 5801
2020-W35 00-04 0 1
2020-W35 0 31 9225
2020-W35 05-14 0 0
2020-W35 15-34 0 18
2020-W35 35-59 3 427
2020-W35 60-79 16 2966
2020-W35 80 12 5813
2020-W36 00-04 0 1
2020-W36 0 31 9256
2020-W36 05-14 0 0
2020-W36 15-34 0 18
2020-W36 35-59 5 432
2020-W36 60-79 16 2982
2020-W36 80 10 5823
2020-W37 00-04 0 1
2020-W37 0 25 9281
2020-W37 05-14 0 0
2020-W37 15-34 0 18
2020-W37 35-59 4 436
2020-W37 60-79 13 2995
2020-W37 80 8 5831
2020-W38 00-04 0 1
2020-W38 0 34 9315
2020-W38 05-14 0 0
2020-W38 15-34 1 19
2020-W38 35-59 5 441
2020-W38 60-79 12 3007
2020-W38 80 16 5847
2020-W39 00-04 0 1
2020-W39 0 69 9384
2020-W39 05-14 0 0
2020-W39 15-34 0 19
2020-W39 35-59 3 444
2020-W39 60-79 25 3032
2020-W39 80 41 5888
2020-W40 00-04 0 1
2020-W40 0 72 9456
2020-W40 05-14 0 0
2020-W40 15-34 0 19
2020-W40 35-59 7 451
2020-W40 60-79 16 3048
2020-W40 80 49 5937
2020-W41 00-04 0 1
2020-W41 0 88 9544
2020-W41 05-14 0 0
2020-W41 15-34 1 20
2020-W41 35-59 6 457
2020-W41 60-79 32 3080
2020-W41 80 49 5986
2020-W42 00-04 0 1
2020-W42 0 158 9702
2020-W42 05-14 0 0
2020-W42 15-34 1 21
2020-W42 35-59 8 465
2020-W42 60-79 41 3121
2020-W42 80 108 6094
2020-W43 00-04 0 1
2020-W43 0 250 9952
2020-W43 05-14 0 0
2020-W43 15-34 1 22
2020-W43 35-59 6 471
2020-W43 60-79 65 3186
2020-W43 80 178 6272
2020-W44 00-04 0 1
2020-W44 0 452 10404
2020-W44 05-14 1 1
2020-W44 15-34 0 22
2020-W44 35-59 17 488
2020-W44 60-79 122 3308
2020-W44 80 312 6584
2020-W45 00-04 0 1
2020-W45 0 802 11206
2020-W45 05-14 0 1
2020-W45 15-34 1 23
2020-W45 35-59 33 521
2020-W45 60-79 217 3525
2020-W45 80 551 7135
2020-W46 00-04 0 1
2020-W46 0 1198 12404
2020-W46 05-14 0 1
2020-W46 15-34 1 24
2020-W46 35-59 44 565
2020-W46 60-79 303 3828
2020-W46 80 850 7985
2020-W47 00-04 0 1
2020-W47 0 1527 13931
2020-W47 05-14 0 1
2020-W47 15-34 6 30
2020-W47 35-59 49 614
2020-W47 60-79 415 4243
2020-W47 80 1057 9042
2020-W48 00-04 0 1
2020-W48 0 2083 16014
2020-W48 05-14 0 1
2020-W48 15-34 1 31
2020-W48 35-59 76 690
2020-W48 60-79 564 4807
2020-W48 80 1442 10484
2020-W49 00-04 0 1
2020-W49 0 2646 18660
2020-W49 05-14 0 1
2020-W49 15-34 4 35
2020-W49 35-59 63 753
2020-W49 60-79 702 5509
2020-W49 80 1876 12360
2020-W50 00-04 1 2
2020-W50 0 2982 21642
2020-W50 05-14 1 2
2020-W50 15-34 4 39
2020-W50 35-59 85 838
2020-W50 60-79 762 6271
2020-W50 80 2129 14489
2020-W51 00-04 0 2
2020-W51 0 4245 25887
2020-W51 05-14 2 4
2020-W51 15-34 4 43
2020-W51 35-59 118 956
2020-W51 60-79 1077 7348
2020-W51 80 3044 17533
2020-W52 00-04 0 2
2020-W52 0 3703 29590
2020-W52 05-14 0 4
2020-W52 15-34 5 48
2020-W52 35-59 103 1059
2020-W52 60-79 920 8268
2020-W52 80 2675 20208
2020-W53 00-04 0 2
2020-W53 0 4471 34061
2020-W53 05-14 0 4
2020-W53 15-34 2 50
2020-W53 35-59 124 1183
2020-W53 60-79 1118 9386
2020-W53 80 3227 23435